alias_crudo,alias_normalizado,zona_key
Zona 1,ZONA 1,Z01
Z1,Z1,Z01
Zona 4,ZONA 4,Z04
Z4,Z4,Z04
Zona 6,ZONA 6,Z06
Z6,Z6,Z06
Zona 7,ZONA 7,Z07
Z7,Z7,Z07
Zona 8,ZONA 8,Z08
Z8,Z8,Z08
Zona 9,ZONA 9,Z09
Z9,Z9,Z09
Zona 10,ZONA 10,Z10
Z10,Z10,Z10
Zona 11,ZONA 11,Z11
Z11,Z11,Z11
Zona 12,ZONA 12,Z12
Z12,Z12,Z12
Zona 13,ZONA 13,Z13
Z13,Z13,Z13
Zona 17,ZONA 17,Z17
Z17,Z17,Z17
Zona 18,ZONA 18,Z18
Z18,Z18,Z18
Mixco,MIXCO,MIX
MIXCO,MIXCO,MIX
Villa Nueva,VILLA NUEVA,VNU
VILLA NUEVA,VILLA NUEVA,VNU
San Miguel Petapa,SAN MIGUEL PETAPA,SMP
SAN MIGUEL PETAPA,SAN MIGUEL PETAPA,SMP
Santa Catarina Pinula,SANTA CATARINA PINULA,SCP
SANTA CATARINA PINULA,SANTA CATARINA PINULA,SCP
